Standout Seasons for Stephen Curry:
 season  pts_display_player  pts_display_league  ppg_diff
   2009                17.5            8.571719  8.928281
   2010                18.6            8.206195 10.393805
   2011                14.7            7.928870  6.771130
   2012                22.9            7.957996 14.942004
   2013                24.0            8.090249 15.909751
   2014                23.8            8.122561 15.677439
   2015                30.1            8.349370 21.750630
   2016                25.3            8.426749 16.873251
   2017                26.4            8.160370 18.239630
   2018                27.3            8.613585 18.686415
   2019                20.8            8.726465 12.073535
   2020                32.0            8.942407 23.057593
   2021                25.5            8.240000 17.260000
   2022                29.4            9.121336 20.278664
